full_path,file,type,date,changes,arch,value_name,value_type,size,perm,uid,gid,md5,sha1,uname,gname,mtime,inode,sha256,attributes,symbolic_path,checksum
/etc/alternatives/lzma,/etc/alternatives/lzma,file,1681268940,1,,,,11,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519535,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,e61022bfe6f6d0a201634c10a5ab19022fa804f9
/etc/alternatives/nawk,/etc/alternatives/nawk,file,1681268940,1,,,,13,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198170,516116,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,00b050a3f7c84941f14746a19898f8d63c6c8d05
/etc/alternatives/pinentry,/etc/alternatives/pinentry,file,1681268940,1,,,,24,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519537,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,4bf14f5c6ae3f86ffbbcba9cffaa19c5f80c9a98
/etc/alternatives/lzmore,/etc/alternatives/lzmore,file,1681268940,1,,,,15,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519536,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ef3fae9504001e62b2bab0a4e643ae0025a616c5
/etc/alternatives/pager,/etc/alternatives/pager,file,1681268940,1,,,,9,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198190,516117,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,a6e23fbbbcbb5d7bd609aa1ab3f3ada93e3ab5c6
/etc/alternatives/rmt,/etc/alternatives/rmt,file,1681268940,1,,,,17,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198186,516119,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,77cde486652deeb3d7834cb0064aea5150b03240
/etc/alternatives/w,/etc/alternatives/w,file,1681268940,1,,,,17,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198179,516121,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,8a9a0fccf280b8edfaeb1b72c116eb0e9c5363e6
/etc/alternatives/unlzma,/etc/alternatives/unlzma,file,1681268940,1,,,,13,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519538,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,e3b1e2aa6a274a91b8695f3fc874da0fcf04eb58
/etc/apt/apt.conf.d/01-vendor-ubuntu,/etc/apt/apt.conf.d/01-vendor-ubuntu,file,1681268940,1,,,,92,rw-r--r--,0,0,c69ce53f5f0755e5ac4441702e820505,43742ca9cbd8e8c18241a9b38aa302d92b0fa51c,root,root,1586427667,516125,364d5eeac5475b7dddfd629899ea88b91ed8d8e8e319c29bb9dbd6772e87ed55,,,cb2a1c3cf61cf010afa4bb1f3c30d6339bc43d41
/etc/apt/apt.conf.d/01autoremove,/etc/apt/apt.conf.d/01autoremove,file,1681268940,1,,,,630,rw-r--r--,0,0,ab6540f7278a05a4b7f9e58afcaa5f46,1a02e2f81f99a2fb621baf0cce0b332694982366,root,root,1586427667,516126,93e7e6d2fdb36b04cb10127e3b0d1b9d19d822327fd959484639bbbd65cce004,,,1d1b5c187598984e0b8dfdb06f2d225a7fbf7040
