id_check,key,value
19108,tsc,CC8.1
19109,cis,4.1.1.1
19109,cis_csc,"6.2,6.3"
19109,pci_dss,10.1
19109,nist_800_53,AU.2
19109,hipaa,164.312.b
19109,tsc,"CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19110,cis,4.1.1.2
19110,cis_csc,"6.2,6.3"
19110,pci_dss,"10.1,10.7"
19110,nist_800_53,AU.2
19110,hipaa,164.312.b
19110,tsc,"CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19111,cis,4.1.1.3
19111,cis_csc,"6.2,6.3"
19111,pci_dss,"10.2.6,10.7"
19111,nist_800_53,AU.2
19111,gpg_13,7.9
19111,gdpr_IV,"35.7.d,32.2"
19111,hipaa,164.312.b
19111,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19112,cis,4.1.2.1
19112,cis_csc,6.4
19112,pci_dss,10.7
19112,nist_800_53,AU.4
19112,hipaa,164.312.b
19113,cis,4.1.2.2
19113,cis_csc,6.4
19113,pci_dss,10.7
19113,nist_800_53,AU.9
19113,hipaa,164.312.b
19114,cis,4.1.2.3
19114,cis_csc,6.4
19114,pci_dss,10.7
19115,cis,4.1.3
19115,cis_csc,5.5
19115,pci_dss,"10.4.2,10.2.7"
19115,nist_800_53,"AU.14,AU.6"
19115,gpg_13,7.9
19115,gdpr_IV,"32.2,35.7.d"
19115,hipaa,164.312.b
19115,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19116,cis,4.1.4
19116,cis_csc,4.8
19116,pci_dss,10.2.5
19116,hipaa,164.312.b
19116,nist_800_53,"AU.14,AC.7"
19116,gpg_13,7.8
19116,gdpr_IV,"35.7,32.2"
19116,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19117,cis,4.1.5
19117,cis_csc,5.5
19117,pci_dss,10.2.5
19117,hipaa,164.312.b
19117,nist_800_53,"AU.14,AC.7"
19117,gpg_13,7.8
19117,gdpr_IV,"35.7,32.2"
19117,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19118,cis,4.1.6
19118,cis_csc,5.5
19118,pci_dss,10.2.5
19118,hipaa,164.312.b
19118,nist_800_53,"AU.14,AC.7"
19118,gpg_13,7.8
19118,gdpr_IV,"35.7,32.2"
19118,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19119,cis,4.1.7
19119,cis_csc,"4.9,16.11,16.13"
19119,pci_dss,"10.2.1,10.2.4,10.3"
19119,nist_800_53,"AC.7,AU.14"
19119,gpg_13,7.8
19119,gdpr_IV,"32.2,35.7.d"
19119,hipaa,164.312.b
19119,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19120,cis,4.1.8
19120,cis_csc,"4.9,16.11,16.13"
19120,pci_dss,10.3
19120,nist_800_53,"AC.7,AU.14"
19120,hipaa,164.312.b
19121,cis,4.1.9
19121,cis_csc,5.5
19121,pci_dss,10.2.5
19121,hipaa,164.312.b
19121,nist_800_53,"AU.14,AC.7"
19121,gpg_13,7.8
19121,gdpr_IV,"35.7,32.2"
19121,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19122,cis,4.1.10
19122,cis_csc,14.9
19122,pci_dss,10.2.4
19122,nist_800_53,AC.7
19122,gpg_13,7.8
19122,gdpr_IV,"32.2,35.7.d"
19122,hipaa,164.312.b
19122,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19123,cis,4.1.12
19123,cis_csc,13
19123,pci_dss,10.2.7
19123,nist_800_53,"AU.14,AU.6"
19123,gpg_13,7.9
19123,gdpr_IV,"32.2,35.7.d"
19123,hipaa,164.312.b
19123,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19124,cis,4.1.13
19124,cis_csc,13
19124,pci_dss,10.5.5
19124,nist_800_53,AU.14
19124,hipaa,164.312.b
19124,tsc,"PI1.4,PI1.5,CC7.1,CC7.2,CC7.3,CC8.1"
19125,cis,4.1.14
19125,cis_csc,4.8
19125,pci_dss,10.5.5
19125,nist_800_53,AU.14
19125,hipaa,164.312.b
19125,tsc,"PI1.4,PI1.5,CC7.1,CC7.2,CC7.3,CC8.1"
19126,cis,4.1.15
19126,cis_csc,4.9
19126,pci_dss,10.2.2
19126,nist_800_53,"AU.14,AC.6,AC.7"
19126,gpg_13,7.8
19126,gdpr_IV,"32.2,35.7.d"
19126,hipaa,164.312.b
19126,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19127,cis,4.1.16
19127,cis_csc,5.1
19127,pci_dss,10.2.7
19127,nist_800_53,"AU.14,AU.6"
19127,gpg_13,7.9
19127,gdpr_IV,"32.2,35.7.d"
19127,hipaa,164.312.b
19127,tsc,"CC6.1,CC6.8,CC7.2,CC7.3,CC7.4"
19128,cis,4.2.1.1
19128,cis_csc,6.2
19128,pci_dss,10.1
19128,nist_800_53,CM.1
19128,tsc,"CC5.2,CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19128,hipaa,164.312.b
19129,cis,4.2.1.2
19129,cis_csc,"6.2,6.3"
19129,pci_dss,10.1
19129,nist_800_53,CM.1
19129,tsc,"CC5.2,CC6.1,CC6.2,CC6.3,CC7.2,CC7.3,CC7.4"
19129,hipaa,164.312.b
19130,cis,4.2.1.4
19130,cis_csc,5.1
19130,pci_dss,"10.5.1,10.5.2"
19130,nist_800_53,"CM.1,AU.9"
19130,tsc,"CC5.2,CC6.1,CC7.2,CC.7.3,CC7.4"
19131,cis,4.2.1.5
19131,cis_csc,"6.6,6.8"
19131,pci_dss,10.5.3
19131,nist_800_53,"CM.1,AU.4"
19131,tsc,CC5.2
19132,cis,4.2.1.6
19132,cis_csc,9.2
19132,pci_dss,10.5.1
19133,cis,4.2.2.1
19133,cis_csc,6.5
19133,pci_dss,10.5.3
19133,nist_800_53,"CM.1,AU.9,AU.4"
19133,tsc,"CC5.2,CC7.2"
19134,cis,4.2.2.2
19134,cis_csc,6.4
19134,pci_dss,10.7
19134,nist_800_53,"CM.1,AU.4"
19134,tsc,CC5.2
19135,cis,4.2.2.3
19135,cis_csc,"6.2,6.3"
19135,pci_dss,10.7
19135,nist_800_53,"CM.1,AU.4"
19135,tsc,CC5.2
19136,cis,4.2.3
19136,cis_csc,5.1
19136,pci_dss,"10.5.1,10.5.2"
19136,nist_800_53,"CM.1,AU.9"
19136,tsc,"CC5.2,CC7.2"
19137,cis,5.1.1
19137,cis_csc,6
19137,pci_dss,2.2.4
19137,nist_800_53,CM.1
19137,tsc,CC5.2
19138,cis,5.1.2
19138,cis_csc,14.6
19138,pci_dss,2.2.4
19138,hipaa,164.312.b
19138,nist_800_53,"AU.14,AC.7"
19138,tsc,"CC7.2,CC6.1"
19138,gpg_13,7.8
19138,gdpr_IV,"35.7,32.2"
19139,cis,5.1.3
19139,cis_csc,14.6
19139,pci_dss,2.2.4
19139,nist_800_53,CM.1
19139,tsc,CC5.2
19140,cis,5.1.4
19140,cis_csc,14.6
19140,pci_dss,2.2.4
19140,nist_800_53,CM.1
19140,tsc,CC5.2
19141,cis,5.1.5
19141,cis_csc,14.6
19141,pci_dss,2.2.4
19141,nist_800_53,CM.1
19141,tsc,CC5.2
19142,cis,5.1.6
19142,cis_csc,14.6
19142,pci_dss,2.2.4
19142,nist_800_53,CM.1
19142,tsc,CC5.2
19143,cis,5.1.7
19143,cis_csc,14.6
19143,pci_dss,2.2.4
19143,nist_800_53,CM.1
19143,tsc,CC5.2
19144,cis,5.1.8
19144,cis_csc,14.6
19144,pci_dss,2.2.4
19144,nist_800_53,CM.1
19144,tsc,CC5.2
19145,cis,5.1.9
19145,cis_csc,14.6
19145,pci_dss,2.2.4
19145,nist_800_53,CM.1
19145,tsc,CC5.2
19146,cis,5.3.1
19146,cis_csc,14.6
19146,pci_dss,2.2.4
19146,nist_800_53,CM.1
19146,tsc,CC5.2
19147,cis,5.3.2
19147,cis_csc,14.6
19147,pci_dss,2.2.4
19147,nist_800_53,CM.1
19147,tsc,CC5.2
19148,cis,5.3.3
19148,cis_csc,14.6
19148,pci_dss,2.2.4
19148,nist_800_53,CM.1
19148,tsc,CC5.2
19149,cis,5.3.5
19149,cis_csc,"6.2,6.3"
19149,pci_dss,4.1
19149,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19149,nist_800_53,SC.8
19149,tsc,CC6.7
19150,cis,5.3.6
19150,cis_csc,9.2
19150,pci_dss,2.2.3
19150,nist_800_53,CM.1
19150,tsc,CC5.2
19150,gpg_13,4.3
19150,gdpr_IV,35.7.d
19150,hipaa,164.312.b
19151,cis,5.3.7
19151,cis_csc,16.13
19151,pci_dss,2.2.4
19151,nist_800_53,CM.1
19151,tsc,CC5.2
19152,cis,5.3.8
19152,cis_csc,9.2
19152,pci_dss,4.1
19152,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19152,nist_800_53,SC.8
19152,tsc,CC6.7
19153,cis,5.3.9
19153,cis_csc,16.3
19153,pci_dss,4.1
19153,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19153,nist_800_53,SC.8
19153,tsc,CC6.7
19154,cis,5.3.10
19154,cis_csc,4.3
19154,pci_dss,4.1
19154,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19154,nist_800_53,SC.8
19154,tsc,CC6.7
19155,cis,5.3.11
19155,cis_csc,16.3
19155,pci_dss,4.1
19155,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19155,nist_800_53,SC.8
19155,tsc,CC6.7
19156,cis,5.3.12
19156,cis_csc,14.6
19156,pci_dss,4.1
19156,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19156,nist_800_53,SC.8
19156,tsc,"CC6.7,CC6.1,CC7.2"
19157,cis,5.3.13
19157,cis_csc,14.4
19157,pci_dss,4.1
19157,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19157,nist_800_53,SC.8
19157,tsc,"CC6.7,CC6.1,CC7.2"
19158,cis,5.3.14
19158,cis_csc,"14.4,16.5"
19158,pci_dss,4.1
19158,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19158,nist_800_53,SC.8
19158,tsc,"CC6.7,CC6.1,CC7.2"
19159,cis,5.3.15
19159,cis_csc,14.4
19159,pci_dss,4.1
19159,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19159,nist_800_53,SC.8
19159,tsc,"CC6.7,CC6.1,CC7.2"
19160,cis,5.3.16
19160,cis_csc,16.11
19160,pci_dss,12.3.8
19161,cis,5.3.17
19161,cis_csc,5.1
19161,pci_dss,8.1
19161,tsc,CC6.1
19162,cis,5.3.4
19162,cis_csc,4.3
19162,pci_dss,8.1
19162,tsc,CC6.1
19163,cis,5.3.18
19163,cis_csc,5.1
19163,pci_dss,2.2.4
19163,nist_800_53,CM.1
19163,tsc,CC5.2
19164,cis,5.3.19
19164,cis_csc,5.1
19164,pci_dss,2.2.4
19164,nist_800_53,CM.1
19164,tsc,CC5.2
19165,cis,5.3.20
19165,cis_csc,9.2
19165,pci_dss,4.1
19165,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
19165,nist_800_53,SC.8
19165,tsc,"CC6.1,CC6.7,CC7.2"
19166,cis,5.3.21
19166,cis_csc,5.1
19167,cis,5.3.21
19167,cis_csc,5.1
19167,pci_dss,2.2.4
